timestamp_utc,source,city,state,lat,lon,Ta_C,RH_pct,notes
2026-04-26T05:44:00+00:00,shram_map,Bhubaneshwar,Odisha,20.26,85.83,29.0,81.0,"{""cell_lat"": 20.25, ""cell_lon"": 85.75, ""zone_met4_shade"": 5, ""zone_met4_sun"": 5, ""resolution_deg"": 0.25}"
2026-04-26T05:44:00+00:00,shram_map,Cuttack,Odisha,20.46,85.88,28.9,82.0,"{""cell_lat"": 20.5, ""cell_lon"": 86.0, ""zone_met4_shade"": 5, ""zone_met4_sun"": 5, ""resolution_deg"": 0.25}"
2026-04-26T05:44:00+00:00,shram_map,Sambalpur,Odisha,21.47,83.97,31.1,51.0,"{""cell_lat"": 21.5, ""cell_lon"": 84.0, ""zone_met4_shade"": 4, ""zone_met4_sun"": 4, ""resolution_deg"": 0.25}"
2026-04-26T05:44:00+00:00,shram_map,Delhi,Delhi,28.61,77.21,31.0,29.0,"{""cell_lat"": 28.5, ""cell_lon"": 77.25, ""zone_met4_shade"": 4, ""zone_met4_sun"": 4, ""resolution_deg"": 0.25}"
2026-04-26T05:44:00+00:00,shram_map,Lucknow,Uttar Pradesh,26.85,80.95,30.0,50.0,"{""cell_lat"": 26.75, ""cell_lon"": 81.0, ""zone_met4_shade"": 4, ""zone_met4_sun"": 4, ""resolution_deg"": 0.25}"
2026-04-26T05:44:00+00:00,shram_map,Kolkata,West Bengal,22.57,88.36,29.7,78.0,"{""cell_lat"": 22.5, ""cell_lon"": 88.25, ""zone_met4_shade"": 5, ""zone_met4_sun"": 5, ""resolution_deg"": 0.25}"
2026-04-26T05:44:00+00:00,shram_map,Mumbai,Maharashtra,19.08,72.88,28.7,54.0,"{""cell_lat"": 19.0, ""cell_lon"": 73.0, ""zone_met4_shade"": 4, ""zone_met4_sun"": 4, ""resolution_deg"": 0.25}"
2026-04-26T05:44:00+00:00,shram_map,Chennai,Tamil Nadu,13.08,80.27,29.5,78.0,"{""cell_lat"": 13.0, ""cell_lon"": 80.25, ""zone_met4_shade"": 5, ""zone_met4_sun"": 5, ""resolution_deg"": 0.25}"
2026-04-26T05:44:00+00:00,shram_map,Ahmedabad,Gujarat,23.03,72.58,28.2,66.0,"{""cell_lat"": 23.0, ""cell_lon"": 72.5, ""zone_met4_shade"": 4, ""zone_met4_sun"": 4, ""resolution_deg"": 0.25}"
2026-04-26T05:44:00+00:00,shram_map,Nagpur,Maharashtra,21.15,79.09,30.6,27.0,"{""cell_lat"": 21.25, ""cell_lon"": 79.0, ""zone_met4_shade"": 4, ""zone_met4_sun"": 4, ""resolution_deg"": 0.25}"
2026-04-26T05:44:00+00:00,shram_map,Bengaluru,Karnataka,12.97,77.59,24.9,62.0,"{""cell_lat"": 13.0, ""cell_lon"": 77.5, ""zone_met4_shade"": 4, ""zone_met4_sun"": 4, ""resolution_deg"": 0.25}"
2026-04-26T05:44:00+00:00,shram_stations,Angul,Odisha,20.84,85.1,,,no matching shram district
2026-04-26T05:44:00+00:00,shram_stations,Bhubaneshwar,Odisha,20.26,85.83,31.9,71.0,"{""zone_light"": ""Zone 4"", ""zone_hard"": ""Zone 5"", ""station"": ""Bhubaneshwar Airport""}"
2026-04-26T05:44:00+00:00,shram_stations,Cuttack,Odisha,20.46,85.88,,,district not in alerts
