imd_archive_utc,shram_archive_utc,bulletin_date,target_date,fc_day,met,imd_def,imd_code,imd_min_tier,shram_def,shram_min_zone,a_both_alert,b_imd_only,c_shram_only,d_both_none,n,kappa
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,1,6,Warm Night Watch+,11,2,Z>=6,6,0,5,0,603,608,0.0
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,1,6,Warm Night Alert+,11,3,Z>=4,4,0,0,608,0,608,0.0
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,1,6,Warm Night Alert+,11,3,Z>=5,5,0,0,585,23,608,0.0
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,1,6,Warm Night Alert+,11,3,Z>=6,6,0,0,0,608,608,
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,1,6,Warm Night Warning,11,4,Z>=4,4,0,0,608,0,608,0.0
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,1,6,Warm Night Warning,11,4,Z>=5,5,0,0,585,23,608,0.0
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,1,6,Warm Night Warning,11,4,Z>=6,6,0,0,0,608,608,
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,2,3,Heat Wave Watch+,9,2,Z>=4,4,79,0,524,5,608,0.0024735269990168525
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,2,3,Heat Wave Watch+,9,2,Z>=5,5,44,35,321,208,608,-0.019624838658011463
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,2,3,Heat Wave Watch+,9,2,Z>=6,6,0,79,0,529,608,0.0
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,2,3,Heat Wave Alert+,9,3,Z>=4,4,67,0,536,5,608,0.002051702913418132
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,2,3,Heat Wave Alert+,9,3,Z>=5,5,41,26,324,217,608,0.0044258138163989534
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,2,3,Heat Wave Alert+,9,3,Z>=6,6,0,67,0,541,608,0.0
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,2,3,Heat Wave Warning,9,4,Z>=4,4,0,0,603,5,608,0.0
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,2,3,Heat Wave Warning,9,4,Z>=5,5,0,0,365,243,608,0.0
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,2,3,Heat Wave Warning,9,4,Z>=6,6,0,0,0,608,608,
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,2,3,Hot Day Watch+,10,2,Z>=4,4,2,0,601,5,608,5.473034359709571e-05
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,2,3,Hot Day Watch+,10,2,Z>=5,5,2,0,363,243,608,0.00438477778379258
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,2,3,Hot Day Watch+,10,2,Z>=6,6,0,2,0,606,608,0.0
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,2,3,Hot Day Alert+,10,3,Z>=4,4,2,0,601,5,608,5.473034359709571e-05
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,2,3,Hot Day Alert+,10,3,Z>=5,5,2,0,363,243,608,0.00438477778379258
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,2,3,Hot Day Alert+,10,3,Z>=6,6,0,2,0,606,608,0.0
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,2,3,Hot Day Warning,10,4,Z>=4,4,0,0,603,5,608,0.0
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,2,3,Hot Day Warning,10,4,Z>=5,5,0,0,365,243,608,0.0
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,2,3,Hot Day Warning,10,4,Z>=6,6,0,0,0,608,608,
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,2,3,Warm Night Watch+,11,2,Z>=4,4,0,0,603,5,608,0.0
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,2,3,Warm Night Watch+,11,2,Z>=5,5,0,0,365,243,608,0.0
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,2,3,Warm Night Watch+,11,2,Z>=6,6,0,0,0,608,608,
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,2,3,Warm Night Alert+,11,3,Z>=4,4,0,0,603,5,608,0.0
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,2,3,Warm Night Alert+,11,3,Z>=5,5,0,0,365,243,608,0.0
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,2,3,Warm Night Alert+,11,3,Z>=6,6,0,0,0,608,608,
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,2,3,Warm Night Warning,11,4,Z>=4,4,0,0,603,5,608,0.0
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,2,3,Warm Night Warning,11,4,Z>=5,5,0,0,365,243,608,0.0
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,2,3,Warm Night Warning,11,4,Z>=6,6,0,0,0,608,608,
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,2,4,Heat Wave Watch+,9,2,Z>=4,4,79,0,528,1,608,0.0004919329227665249
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,2,4,Heat Wave Watch+,9,2,Z>=5,5,79,0,460,69,608,0.03751780908659176
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,2,4,Heat Wave Watch+,9,2,Z>=6,6,0,79,0,529,608,0.0
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,2,4,Heat Wave Alert+,9,3,Z>=4,4,67,0,540,1,608,0.0004079718925633505
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,2,4,Heat Wave Alert+,9,3,Z>=5,5,67,0,472,69,608,0.031213076678977263
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,2,4,Heat Wave Alert+,9,3,Z>=6,6,0,67,0,541,608,0.0
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,2,4,Heat Wave Warning,9,4,Z>=4,4,0,0,607,1,608,0.0
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,2,4,Heat Wave Warning,9,4,Z>=5,5,0,0,539,69,608,0.0
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,2,4,Heat Wave Warning,9,4,Z>=6,6,0,0,0,608,608,
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,2,4,Hot Day Watch+,10,2,Z>=4,4,2,0,605,1,608,1.0874174921977691e-05
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,2,4,Hot Day Watch+,10,2,Z>=5,5,2,0,537,69,608,0.0008446256105174316
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,2,4,Hot Day Watch+,10,2,Z>=6,6,0,2,0,606,608,0.0
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,2,4,Hot Day Alert+,10,3,Z>=4,4,2,0,605,1,608,1.0874174921977691e-05
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,2,4,Hot Day Alert+,10,3,Z>=5,5,2,0,537,69,608,0.0008446256105174316
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,2,4,Hot Day Alert+,10,3,Z>=6,6,0,2,0,606,608,0.0
2026-05-14T22:28:41+00:00,2026-05-15T01:00:20+00:00,2026-05-13,2026-05-14,2,4,Hot Day Warning,10,4,Z>=4,4,0,0,607,1,608,0.0
